Name,HMIS Code,FacilityType,AgencyName,OperationalStatus,DistrictName,Latitude,Longitude,Address,ContactPhone,HasRefrigerator,HasPower,StaffCount,CatchmentRadius
Ark Medical Center And Lab Services,5463102531,clinic,,,Kampala,0.29229310,32.57796155,Kampala,,,,,
OSUKURU,11056451895,clinic,,,Tororo,0.61613564,34.14818286,,,,,,
Elohai Healthcare,7807409003,pharmacy,,,Wakiso,0.27703795,32.57198986,Masajja,,,,,
Ineza Trust Human Drug Shop,8274342540,pharmacy,private,,Kisoro,-1.34212505,29.64874162,,,,,1,
HEALTH CENTRE II,11056451939,clinic,,,Namutumba,0.98114799,33.60369913,,,,,,
Kyakuwa General Clinic,4100092144,clinic,,,Kampala,0.29472796,32.57720483,"Kayimba Road, Kampala",,,,,
Cure Health Centre,4043791883,clinic,,,Jinja,0.46673702,33.23733427,Bugembe Town Council,,,,,
Bugalo Health center iii,1159208,hospital,,,Butaleja,0.88430172,33.85004896,Busaba,,,,,
Kabedopong Drug Shop,10102721879,doctors,,,Gulu,2.79313734,32.29339627,,,,,,
Roy Medical Centre,4105542226,clinic,,,Kampala,0.38309342,32.59529272,kampala,,,,,
WANDI,11054940399,hospital,,,Arua,3.11021007,30.99103225,,,,,,
KIBAALE,11001694554,hospital,,,Rakai,-0.77849444,31.34429267,,,,,,
KINYABWAMBA HC II,11001734186,clinic,,,Kasese,0.32770069,30.15236886,,,,,,
Good Neighbor Medicare Drug Shop,10020565430,doctors,,,Arua,3.02603523,30.90532058,,,,,,
MBN Lab Arua,9456933873,laboratory,,,Arua,3.01991468,30.91854865,,,,,,
Doctor's Hospital Out-patient Wing,2861736034,clinic,,,Wakiso,0.23281268,32.55253337,,,,,,
Uleppi Trading Centre,5354389876,doctors,,operational,Madi Okollo,2.77314324,31.03771668,,,,,,
HEALTH CENTRE II,11073166706,hospital,,,Dokolo,1.90229895,33.17583985,,,,,,
Heroes Domiciliary Clinic,8402200817,clinic,,,Kampala,0.28096186,32.56755474,,,,,,
Apsaru Drug Shop,5985770892,doctors,,operational,Kikuube,1.15618325,30.75472326,,,,,1,
Top Care Clinic,4102726491,clinic,,,Kampala,0.28685995,32.59159790,Kampala,,,,,
Victorious Vet Care Drug Shop,4107802679,doctors,,,Kampala,0.25352403,32.63241173,"Ggaba Road, Kampala",,,,,
KATIIRA HC III,11056452409,hospital,,,Budaka,1.14372976,34.03751794,,,,,,
Friends Medical Centre,3328436509,clinic,,,Kampala,0.30259228,32.61636550,,,,,,
Malcom Health Care,4107809617,clinic,,,Kampala,0.36781639,32.60405399,"Kisaasi Road, kampala",,,,,
WANGLANGO HC II,11080417483,hospital,,,Lamwo,3.52186378,33.06943469,,,,,,
BASE CAMP HC II,11080473495,hospital,,,Lamwo,3.42397757,32.73494169,,,,,,
De Grace Medical Center,9992537233,doctor,,,Lira,2.26214059,32.87158012,,,,,,
LEPROSY CENTRE,11056452371,clinic,,,Luuka,0.69766339,33.36547002,,,,,,
Good Samaritan Medical Clinic,4052772029,doctors,,,Iganga,0.60963514,33.47779389,Central Division,,,,,
Otheko Health Center II,8632128791,clinic,government,,Zombo,2.48286913,31.02389417,,,,,5,
Exodus Drug Shop,5985108582,clinic,,,Yumbe,3.37095163,31.30836666,,,,,,
BARR,11073166824,hospital,,,Lira,2.24764057,33.04007397,,,,,,
Angel Tammy Drug Shop,10102653177,doctors,,,Gulu,2.78805615,32.33760570,,,,,,
"KITIMBA H,C 111",11010338496,hospital,,,Butambala,0.29629504,32.26753206,,,,,,
Bukasa HC II,9602569,clinic,government,,Mpigi,0.00968022,31.93539068,,,,,,
ADIGO HC III,11073166734,hospital,,,Oyam,2.13398012,32.49920309,,,,,,
Josam Medical Center,9147833052,clinic,private,,Kampala,0.36896497,32.57271163,Kanyanya,,,,2,
ST ANNA HEALTH CENTRE II,11001446298,clinic,,,Kanungu,-0.69969668,29.76926333,,,,,,
Drug shop,8420596720,clinic,,,Mukono,0.40799287,32.69433178,,,,,,
KIJJUMAGWA HEALTH CENTER II,11010338118,hospital,,,Kiboga,0.79218654,31.84556996,,,,,,
Keah medical center nsambya Kevina,10970846483,clinic,,,Kampala,0.30169139,32.58148052,,,,,,
Kachomo Medical Clinic,3966247386,doctors,,,Budaka,1.11916064,33.93571939,Kachomo,,,,,
Engari HC III,8177667,hospital,,,Kazo,-0.05076495,30.63851505,,,,,,
ACII HEALTH CENTRE II,11073166865,hospital,,,Amolatar,1.57713526,32.63743593,,,,,,
Poly Clinic,4121584558,clinic,,,Kampala,0.31404607,32.57830110,"Burton Street, Kampala",,,,,
Pcl Health Care,10102769141,doctors,,,Gulu,2.75534435,32.30448016,,,,,,
Kamukira Health centre IV;Kamukira hc,8441361718,hospital,,,Kabale,-1.26452664,29.98413534,,,,,,
Shadia Drug Shop,9794277222,pharmacy,,,Wakiso,0.47365904,32.55135076,,,,,,
MWELLO HC II,1629166,clinic,,,Tororo,0.71175958,34.05734969,,,,,,
IDIWA Drug Shop.,5789319870,doctors,No organization.;Nopartner.,non operational,Obongi,3.42106997,31.55932495,,,,,1,
St. Raphael Children's Clinic,5490685,clinic,,,Ntungamo,-0.87814454,30.26583585,,,,,,
Epi Pharmacy,4782947522,pharmacy,,,Kampala,0.29960455,32.60741832,,,,,,
Lewa Health Center II,6369073,clinic,Medical teams international;Acf;Care,operational,Adjumani,3.29406167,31.90510829,,,,True,4,
KABONERO HEALTH CENTRE III,6435467,hospital,,,Bunyangabu,0.46694204,30.16244566,,,,,,
Health Point Medicare,10102817894,doctors,,,Gulu,2.76155727,32.32271860,,,,,,
T. D. Drug shop,6759001538,doctors,Turyatunga Dickson,operational,Kanungu,-0.77742676,29.64424162,,,,,1,
Carhariet Medical Clinic,3986168665,clinic,,,Tororo,0.69236025,34.18200443,"Uhuru drive, Western Division",,,,,
Entebbe Road Clinic,4825676638,clinic,,,Wakiso,0.23955349,32.55574942,,,,,,
Sigulu Health Centre III,8153612,clinic,,,Namayingo,0.09163486,33.86711594,Sigulu Islands,,,,,
KITAKA H/C II,11001694698,clinic,,,Gomba,0.14108935,31.97653678,,,,,,
KITIMBA HEALTH CENTRE II,11001478321,clinic,,,Rukungiri,-0.77262636,29.89883942,,,,,,
RWEMIGINA HC II,11007308947,hospital,,,Mbarara,-0.58941296,30.73119912,,,,,,
Concord Pharmacy,11112131005,pharmacy,,,Wakiso,0.39250990,32.48152918,,,,,,
St.Nyagisozi Health Center III,8274304199,clinic,private,,Kisoro,-1.25750931,29.61968994,,,,,14,
BUGAMBO HEALTH CENTRE II,3051943,clinic,,,Luuka,0.96827817,33.39535276,,,,,,
Your Pharmacy and Cosmetics,8539734717,pharmacy,,,Wakiso,0.38864878,32.65520632,,,,,,
RWOHO HEALTH CENTRE II,11007309029,hospital,,,Ntungamo,-0.85389377,30.52856007,,,,,,
MINZIRO,11001654299,clinic,,,Kyotera,-0.92279771,31.63144745,,,,,,
